serial_number,uuid,page_number,shelf_row,position_column,mounting_type,extraction_status,extraction_method,qa_check,duplicates,Column Position
A2-1J,60b94a96-95a5-80c5-a92b-ccb764eecd99,4,1,J,Screw Holes,matched,original-matched,,1,10
A2-1K,40cbb20f-d2dd-79d3-88ad-b3febea4ac1d,4,1,K,Screw Holes,recovered,original-recovered,,1,11
A2-1L,e6cbb20f-d1c9-1cea-efc8-ade5cca6437b,4,1,L,Screw Holes,recovered,original-recovered,,1,12
A2-2A,fcb94a96-9956-559e-3c26-e73f5b030cd1,3,2,A,Screw Holes,matched,original-matched,,1,1
A2-2B,eeb94a96-9b31-d047-9cc4-ef6b1631db9b,3,2,B,Screw Holes,matched,original-matched,,1,2
A2-2C,a0b94a96-9a9a-b05c-7c62-b9b309dea683,3,2,C,Screw Holes,matched,original-matched,,1,3
A2-2D,60b94a96-9ae7-32f2-0048-f5fa513a3fa1,3,2,D,Screw Holes,matched,original-matched,,2,4
A2-2E,fcb94a96-9631-0969-328b-cf5b06881c5f,4,2,E,Screw Holes,matched,original-matched,,1,5
A2-2G,48b94a96-93df-2062-d494-0d4b44d1e071,4,2,G,Screw Holes,matched,original-matched,,1,7
A2-2H,44b94a96-92ab-66f5-d5dd-99d32b7710e0,4,2,H,Screw Holes,matched,original-matched,,1,8
A2-2J,dab94a96-95e9-c624-01d2-cdf2bb951b16,4,2,J,Screw Holes,matched,original-matched,,2,10
A2-2K,16cbb20f-d230-6753-9401-bb471d9272cb,4,2,K,Screw Holes,recovered,original-recovered,,1,11
A2-2L,3ecbb20f-d281-78fc-5064-1029215b730a,4,2,L,Screw Holes,recovered,original-recovered,,1,12
A2-3A,f8b94a96-986c-a549-092a-38a6bf0aef37,3,3,A,Screw Holes,matched,original-matched,,2,1
A2-3B,60b94a96-9ae7-32f2-0048-f5fa513a3fa1,3,3,B,Screw Holes,matched,original-matched,,2,2
A2-3C,aab94a96-99a1-0ea3-d80c-8e484fab6f24,3,3,C,Screw Holes,matched,original-matched,,1,3
A2-3D,f8b94a96-986c-a549-092a-38a6bf0aef37,3,3,D,Screw Holes,matched,original-matched,,2,4
A2-3E,ceb94a96-954e-ef3f-c40f-fa0b001df6fe,4,3,E,Screw Holes,matched,original-matched,,1,5
A2-3G,d6b94a96-92fc-bcd4-8627-4d6735ed1712,4,3,G,Screw Holes,matched,original-matched,,1,7
A2-3H,dab94a96-95e9-c624-01d2-cdf2bb951b16,4,3,H,Screw Holes,matched,original-matched,,2,8
A2-3J,a6b94a96-9679-10e1-da1b-911b46aef82e,4,3,J,Screw Holes,matched,original-matched,,2,10
A2-4A,e4b94a96-9804-d790-9afe-62335d8523df,3,4,A,Adhesive,matched,original-matched,,1,1
A2-4B,60b94a96-99e8-09a0-830c-3096b734bca9,3,4,B,Adhesive,matched,original-matched,,1,2
A2-4C,16b94a96-98b4-06ef-973b-8faa9441b152,3,4,C,Adhesive,matched,original-matched,,1,3
A2-4D,e6b94a96-9b76-da47-9bde-2bd570551c0f,3,4,D,Adhesive,matched,original-matched,,2,4
A2-4E,04b94a96-96c6-68d3-17d2-8d70670dc059,4,4,E,Adhesive,matched,original-matched,,1,5
A2-4G,46b94a96-9469-ddf1-9e00-816d4cac40cb,4,4,G,Adhesive,matched,original-matched,,1,7
A2-4H,b8b94a96-942a-67a2-9fea-69dcaf72cfd1,4,4,H,Adhesive,matched,original-matched,,1,8
A2-4J,a6b94a96-9679-10e1-da1b-911b46aef82e,4,4,J,Adhesive,matched,original-matched,,2,10
A3-1A,bcb94a96-a1cb-d62b-c099-3adc65c40322,5,1,A,Screw Holes,matched,original-matched,,1,1
A3-1B,88b94a96-a2f9-27e9-5124-936987b9b34c,5,1,B,Screw Holes,matched,original-matched,,2,2
A3-1C,60b94a96-a474-e536-026e-fd54413d4cc3,5,1,C,Screw Holes,matched,original-matched,,2,3
A3-1D,72b94a96-a01f-50af-7c39-1a53a787e442,5,1,D,Screw Holes,matched,original-matched,,1,4
A3-1E,f6b94a96-a2a8-e16a-0c7d-9d6bec8dcdb8,6,1,E,Screw Holes,matched,original-matched,,2,5
A3-1G,82b94a96-a350-6869-ea29-a10b1233e08e,6,1,G,Screw Holes,matched,original-matched,,2,7
A3-1H,2eb94a96-a421-f778-65a7-01b3a2508dc6,6,1,H,Screw Holes,matched,original-matched,,2,8
A3-1J,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,6,1,J,Screw Holes,matched,original-matched,,3,10
A3-1K,14b94a96-a0ed-001b-60a2-e9236e80d5b2,6,1,K,Screw Holes,matched,original-matched,,3,11
A3-1L,2cb94a96-a177-03cb-6302-9b56c2218eba,6,1,L,Screw Holes,matched,original-matched,,3,12
A3-2A,14b94a96-a0ed-001b-60a2-e9236e80d5b2,5,2,A,Screw Holes,matched,original-matched,,3,1
A3-2B,a0b94a96-a214-b874-ec6f-d782d256299b,5,2,B,Screw Holes,matched,original-matched,,3,2
A3-2C,82b94a96-a350-6869-ea29-a10b1233e08e,5,2,C,Screw Holes,matched,original-matched,,2,3
A3-2D,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,5,2,D,Screw Holes,matched,original-matched,,3,4
A3-2E,94b94a96-a0a9-229e-a736-0f6364d68ee3,6,2,E,Screw Holes,matched,original-matched,,2,5
A3-2G,a0b94a96-a214-b874-ec6f-d782d256299b,6,2,G,Screw Holes,matched,original-matched,,3,7
A3-2H,2cb94a96-a177-03cb-6302-9b56c2218eba,6,2,H,Screw Holes,matched,original-matched,,3,8
A3-2J,14b94a96-a0ed-001b-60a2-e9236e80d5b2,6,2,J,Screw Holes,matched,original-matched,,3,10
A3-2K,a0b94a96-a214-b874-ec6f-d782d256299b,6,2,K,Screw Holes,matched,original-matched,,3,11
A3-2L,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,6,2,L,Screw Holes,matched,original-matched,,3,12
A3-3A,b0b94a96-a25b-5ad1-8903-32a577ded770,5,3,A,Screw Holes,matched,original-matched,,2,1
A3-3B,3cb94a96-a3ae-057b-a630-74d5d5b4da00,5,3,B,Screw Holes,matched,original-matched,,1,2
A3-3C,aab94a96-a503-ad02-7750-8fbba3a49393,5,3,C,Screw Holes,matched,original-matched,,2,3
A3-3D,50b94a96-9e44-03d7-5fb5-e891e8e822c5,5,3,D,Screw Holes,matched,original-matched,,1,4
A3-3E,b0b94a96-a25b-5ad1-8903-32a577ded770,6,3,E,Screw Holes,matched,original-matched,,2,5
A3-3G,88b94a96-a2f9-27e9-5124-936987b9b34c,6,3,G,Screw Holes,matched,original-matched,,2,7
A3-3H,60b94a96-a474-e536-026e-fd54413d4cc3,6,3,H,Screw Holes,matched,original-matched,,2,8
A3-3J,aab94a96-a503-ad02-7750-8fbba3a49393,6,3,J,Screw Holes,matched,original-matched,,2,10
A3-4A,2cb94a96-a177-03cb-6302-9b56c2218eba,5,4,A,Adhesive,matched,original-matched,,3,1
A3-4B,f6b94a96-a2a8-e16a-0c7d-9d6bec8dcdb8,5,4,B,Adhesive,matched,original-matched,,2,2
A3-4C,2eb94a96-a421-f778-65a7-01b3a2508dc6,5,4,C,Adhesive,matched,original-matched,,2,3
A3-4D,9eb94a96-a54a-b18b-bb0a-7a9aa70af075,5,4,D,Adhesive,matched,original-matched,,3,4
A3-4E,60b94a96-a134-1ea1-0c81-aec9500f6bca,6,4,E,Adhesive,matched,original-matched,,1,5
A3-4G,94b94a96-a0a9-229e-a736-0f6364d68ee3,6,4,G,Adhesive,matched,original-matched,,2,7
A3-4H,9eb94a96-a54a-b18b-bb0a-7a9aa70af075,6,4,H,Adhesive,matched,original-matched,,3,8
A3-4J,9eb94a96-a54a-b18b-bb0a-7a9aa70af075,6,4,J,Adhesive,recovered,original-recovered,,3,10
A4-1A,4eb94a96-917b-e1c5-c43d-127698be8075,7,1,A,Screw Holes,matched,original-matched,,1,1
A4-1B,46b94a96-9296-e803-6ef1-fd00de8d117c,7,1,B,Screw Holes,matched,original-matched,,1,2
A4-1C,40b94a96-93b9-51b3-6dac-da29f4730fce,7,1,C,Screw Holes,matched,original-matched,,2,3
A4-1D,acb94a96-9049-3f65-7543-59e2ce3fa44e,7,1,D,Screw Holes,matched,original-matched,,1,4
A4-1E,6ab94a96-a6bf-571d-3fb9-0230e21c6981,8,1,E,Screw Holes,matched,original-matched,,3,5
A4-1G,8ab94a96-8be7-7531-f188-389aebce2ee9,8,1,G,Screw Holes,matched,original-matched,,2,7
A4-1H,08b94a96-8a15-a13d-e26b-1770ac01fb13,8,1,H,Screw Holes,matched,original-matched,,1,8
A4-1J,28b94a96-8aa0-8286-eca6-356ecd65baa9,8,1,J,Screw Holes,matched,original-matched,,1,10
A4-1K,40b94a96-88c1-8b3c-cfd8-bf236b3cf0d1,8,1,K,Screw Holes,matched,original-matched,,2,11
A4-1L,54b94a96-896e-0704-0032-f66837027293,8,1,L,Screw Holes,matched,original-matched,,2,12
A4-2A,36b94a96-91c5-0d56-462e-2885ab1d4855,7,2,A,Screw Holes,matched,original-matched,,2,1
A4-2B,6eb94a96-92d9-697f-2c1c-76ba583acec5,7,2,B,Screw Holes,matched,original-matched,,2,2
A4-2C,8eb94a96-9400-d5d6-52d9-f9b342a9dbe5,7,2,C,Screw Holes,matched,original-matched,,2,3
A4-2D,e0b94a96-952c-6899-cd37-25bdee6ca8f2,7,2,D,Screw Holes,matched,original-matched,,2,4
A4-2E,ecb94a96-8b45-4a8a-99f3-b5de1c39239f,8,2,E,Screw Holes,matched,original-matched,,1,5
A4-2G,40b94a96-88c1-8b3c-cfd8-bf236b3cf0d1,8,2,G,Screw Holes,matched,original-matched,,2,7
A4-2H,e4b94a96-a60c-a82c-9db0-7db714f57b90,8,2,H,Screw Holes,matched,original-matched,,2,8
A4-2J,54b94a96-8afd-7e06-c0bf-47120281efbe,8,2,J,Screw Holes,matched,original-matched,,1,10
A4-2K,e4b94a96-a60c-a82c-9db0-7db714f57b90,8,2,K,Screw Holes,matched,original-matched,,2,11
A4-2L,6ab94a96-a6bf-571d-3fb9-0230e21c6981,8,2,L,Screw Holes,matched,original-matched,,3,12
A4-3A,d8b94a96-9205-35c6-6e14-03e8804a0738,7,3,A,Screw Holes,matched,original-matched,,1,1
A4-3B,40b94a96-931b-a2da-3b1f-b3ab8d1dce9f,7,3,B,Screw Holes,matched,original-matched,,1,2
A4-3C,30b94a96-944d-30ff-bd14-e996b23bd5ae,7,3,C,Screw Holes,matched,original-matched,,2,3
A4-3D,92b94a96-956f-0ab8-e042-e1448425f06a,7,3,D,Screw Holes,matched,original-matched,,2,4
A4-3E,9cb94a96-8a5d-2178-2930-55524fd068d1,8,3,E,Screw Holes,matched,original-matched,34b94a96-8b92-bf88-352c-539298edc0ce,1,5
A4-3G,bab94a96-a65b-4d30-855a-a5389ae1e6c2,8,3,G,Screw Holes,matched,original-matched,,1,7
A4-3H,4eb94a96-a5be-57ee-7ef2-d402e97db42b,8,3,H,Screw Holes,matched,original-matched,,1,8
A4-3J,34b94a96-8b92-bf88-352c-539298edc0ce,8,3,J,Screw Holes,matched,original-matched,,2,10
A4-4A,78b94a96-924f-3a9b-f4d5-46b654a002b3,7,4,A,Adhesive,matched,original-matched,,3,1
A4-4B,7cb94a96-935e-a627-d9c5-0b0850337d35,7,4,B,Adhesive,matched,original-matched,,3,2
A4-4C,32b94a96-948e-98cb-2859-21dad9a3da3e,7,4,C,Adhesive,matched,original-matched,,3,3
A4-4D,02b94a96-95b3-0670-ab2f-53d78162c919,7,4,D,Adhesive,matched,original-matched,,3,4
A4-4E,8ab94a96-8be7-7531-f188-389aebce2ee9,8,4,E,Adhesive,matched,original-matched,,2,5
A4-4G,54b94a96-896e-0704-0032-f66837027293,8,4,G,Adhesive,matched,original-matched,,2,7
A4-4H,6ab94a96-a6bf-571d-3fb9-0230e21c6981,8,4,H,Adhesive,matched,original-matched,,3,8
A4-4J,34b94a96-8b92-bf88-352c-539298edc0ce,8,4,J,Adhesive,matched,original-matched,,2,10
A5-1A,36b94a96-91c5-0d56-462e-2885ab1d4855,9,1,A,Screw Holes,matched,original-matched,,2,1
A5-1B,78b94a96-924f-3a9b-f4d5-46b654a002b3,9,1,B,Screw Holes,matched,original-matched,,3,2
A5-1C,6eb94a96-92d9-697f-2c1c-76ba583acec5,9,1,C,Screw Holes,matched,original-matched,,2,3
A5-1D,7cb94a96-935e-a627-d9c5-0b0850337d35,9,1,D,Screw Holes,matched,original-matched,,3,4
A5-1E,a4b94a96-9a35-5358-87e3-6a8dce1bc34c,10,1,E,Screw Holes,matched,original-matched,,3,5
A5-1G,f6b94a96-9919-d45d-ee3e-6fd737b5508a,10,1,G,Screw Holes,matched,original-matched,,2,7
A5-1H,4eb94a96-98cb-1da2-8d07-3222814f59db,10,1,H,Screw Holes,matched,original-matched,,1,8
A5-1J,18b94a96-99f2-9563-5cdf-300f06c14f11,10,1,J,Screw Holes,matched,original-matched,,3,10
A5-1K,ceb94a96-97bc-223d-e4a0-eaef3b5cb248,10,1,K,Screw Holes,matched,original-matched,,2,11
A5-1L,5ab94a96-995d-c76b-98ed-1725e283f3e7,10,1,L,Screw Holes,matched,original-matched,,1,12
A5-2A,8eb94a96-9400-d5d6-52d9-f9b342a9dbe5,9,2,A,Screw Holes,matched,original-matched,,2,1
A5-2B,32b94a96-948e-98cb-2859-21dad9a3da3e,9,2,B,Screw Holes,matched,original-matched,,3,2
A5-2C,e0b94a96-952c-6899-cd37-25bdee6ca8f2,9,2,C,Screw Holes,matched,original-matched,,2,3
A5-2D,02b94a96-95b3-0670-ab2f-53d78162c919,9,2,D,Screw Holes,matched,original-matched,,3,4
A5-2E,b4b94a96-9679-f67a-77a4-ab93a71bfd00,10,2,E,Screw Holes,matched,original-matched,,1,5
A5-2G,18b94a96-99f2-9563-5cdf-300f06c14f11,10,2,G,Screw Holes,matched,original-matched,,3,7
A5-2H,04b94a96-9603-3a42-4f34-d576a705f3d2,10,2,H,Screw Holes,matched,original-matched,,1,8
A5-2J,a0b94a96-9804-0460-b2ba-7022233ad938,10,2,J,Screw Holes,matched,original-matched,,2,10
A5-2K,18b94a96-99f2-9563-5cdf-300f06c14f11,10,2,K,Screw Holes,matched,original-matched,,3,11
A5-2L,84b94a96-9a78-0547-2ef2-b6c4736ceb8e,10,2,L,Screw Holes,matched,original-matched,,2,12
A5-3A,40b94a96-93b9-51b3-6dac-da29f4730fce,9,3,A,Screw Holes,matched,original-matched,,2,1
A5-3B,30b94a96-944d-30ff-bd14-e996b23bd5ae,9,3,B,Screw Holes,matched,original-matched,,2,2
A5-3C,62b94a96-94e8-4d13-5685-5057ad24a76d,9,3,C,Screw Holes,matched,original-matched,,1,3
A5-3D,92b94a96-956f-0ab8-e042-e1448425f06a,9,3,D,Screw Holes,matched,original-matched,,2,4
A5-3E,a0b94a96-9804-0460-b2ba-7022233ad938,10,3,E,Screw Holes,matched,original-matched,,2,5
A5-3G,34b94a96-99a3-3859-33db-d82f2519862e,10,3,G,Screw Holes,matched,original-matched,,1,7
A5-3H,a4b94a96-9a35-5358-87e3-6a8dce1bc34c,10,3,H,Screw Holes,matched,original-matched,,3,8
A5-3J,a4b94a96-9a35-5358-87e3-6a8dce1bc34c,10,3,J,Screw Holes,recovered,original-recovered,,3,10
A5-4A,78b94a96-924f-3a9b-f4d5-46b654a002b3,9,4,A,Adhesive,recovered,original-recovered,,3,1
A5-4B,7cb94a96-935e-a627-d9c5-0b0850337d35,9,4,B,Adhesive,recovered,original-recovered,,3,2
A5-4C,32b94a96-948e-98cb-2859-21dad9a3da3e,9,4,C,Adhesive,recovered,original-recovered,,3,3
A5-4D,02b94a96-95b3-0670-ab2f-53d78162c919,9,4,D,Adhesive,recovered,original-recovered,,3,4
A5-4E,ceb94a96-97bc-223d-e4a0-eaef3b5cb248,10,4,E,Adhesive,matched,original-matched,,2,5
A5-4G,84b94a96-9a78-0547-2ef2-b6c4736ceb8e,10,4,G,Adhesive,matched,original-matched,,2,7
A5-4H,82b94a96-9779-eb9d-b95b-3502e7a13e2d,10,4,H,Adhesive,matched,original-matched,,1,8
A5-4J,f6b94a96-9919-d45d-ee3e-6fd737b5508a,10,4,J,Adhesive,matched,original-matched,,2,10
A6-1A,a6b94a96-a2ba-36b1-ac7e-34a7d66bb80a,11,1,A,Screw Holes,matched,original-matched,,1,1
A6-1B,44b94a96-a1a4-ef8c-63a1-389196e7b3ba,11,1,B,Screw Holes,matched,original-matched,,1,2
A6-1C,2eb94a96-a07e-be14-212f-b5f9f0ea009f,11,1,C,Screw Holes,matched,original-matched,,1,3
A6-1D,20b94a96-9f51-24df-e0d7-a45d0449f6a1,11,1,D,Screw Holes,matched,original-matched,,1,4
A6-1E,60b94a96-9d23-9259-1c6f-1bc70b3b9bcc,12,1,E,Screw Holes,matched,original-matched,,1,5
A6-1G,4eb94a96-9cb7-ca05-c9a5-9e7bfa4c5fd1,12,1,G,Screw Holes,matched,original-matched,,3,7
A6-1H,3cb94a96-9b04-706d-f529-d964b7e8fd23,12,1,H,Screw Holes,matched,original-matched,,3,8
A6-1J,20b94a96-9b8d-0935-b2e3-d7f96b903be7,12,1,J,Screw Holes,matched,original-matched,,3,10
A6-1K,12b94a96-9df0-77c7-e0f0-705e1691b4e5,12,1,K,Screw Holes,matched,original-matched,,1,11
A6-1L,22b94a96-9c20-fb29-5fdb-a1f4a0a0ce2c,12,1,L,Screw Holes,matched,original-matched,,2,12
A6-2A,beb94a96-a0c4-fb3a-06dd-42b68d04dbdb,11,2,A,Screw Holes,matched,original-matched,,1,1
A6-2B,bcb94a96-a308-08b9-9c18-c551b4c9457b,11,2,B,Screw Holes,matched,original-matched,,1,2
A6-2C,1ab94a96-a1e5-a787-9259-922907f04b13,11,2,C,Screw Holes,matched,original-matched,,1,3
A6-2D,a8b94a96-a14e-acc1-3148-66375376823a,11,2,D,Screw Holes,matched,original-matched,,1,4
A6-2E,6cb94a96-9e83-fe62-25b9-f6f4d406a7f0,12,2,E,Screw Holes,matched,original-matched,,1,5
A6-2G,22b94a96-9c20-fb29-5fdb-a1f4a0a0ce2c,12,2,G,Screw Holes,matched,original-matched,,2,7
A6-2H,3cb94a96-9b04-706d-f529-d964b7e8fd23,12,2,H,Screw Holes,matched,original-matched,,3,8
A6-2J,2ab94a96-9e33-e0d3-fc5b-2f08e47b2a68,12,2,J,Screw Holes,matched,original-matched,,1,10
A6-2K,4eb94a96-9cb7-ca05-c9a5-9e7bfa4c5fd1,12,2,K,Screw Holes,matched,original-matched,,3,11
A6-2L,3cb94a96-9b04-706d-f529-d964b7e8fd23,12,2,L,Screw Holes,matched,original-matched,,3,12
A6-3A,66b94a96-a34a-120e-922e-3edcb9765cf6,11,3,A,Screw Holes,matched,original-matched,,1,1
A6-3B,e8b94a96-a22d-35b2-e3f5-09c44d2fc810,11,3,B,Screw Holes,matched,original-matched,,1,2
A6-3C,94b94a96-a103-b8f8-9fbd-ba90454d54d1,11,3,C,Screw Holes,matched,original-matched,,1,3
A6-3D,d2b94a96-9fdd-ab36-9d66-a79ba5e297d2,11,3,D,Screw Holes,matched,original-matched,,1,4
A6-3E,18b94a96-9dae-d704-eab2-dd3fb09aeb0b,12,3,E,Screw Holes,matched,original-matched,,1,5
A6-3G,84b94a96-9b46-4930-5992-b61f5b363d27,12,3,G,Screw Holes,matched,original-matched,,2,7
A6-3H,84b94a96-9b46-4930-5992-b61f5b363d27,12,3,H,Screw Holes,matched,original-matched,,2,8
A6-3J,20b94a96-9b8d-0935-b2e3-d7f96b903be7,12,3,J,Screw Holes,matched,original-matched,,3,10
A6-4A,08b94a96-a032-292c-6a23-950ebc44cfaf,11,4,A,Adhesive,matched,original-matched,,1,1
A6-4B,bab94a96-a38f-5405-fa85-5e935ab81b96,11,4,B,Adhesive,matched,original-matched,,1,2
A6-4C,36b94a96-a275-d10f-088c-c713365f8256,11,4,C,Adhesive,matched,original-matched,,1,3
A6-4D,50b94a96-9f9a-6a91-34ed-1176b8f4f011,11,4,D,Adhesive,matched,original-matched,,1,4
A6-4E,4cb94a96-9f08-ed43-525a-1ed72fe9cdab,12,4,E,Adhesive,matched,original-matched,,1,5
A6-4G,4eb94a96-9cb7-ca05-c9a5-9e7bfa4c5fd1,12,4,G,Adhesive,matched,original-matched,,3,7
A6-4H,20b94a96-9b8d-0935-b2e3-d7f96b903be7,12,4,H,Adhesive,matched,original-matched,,3,8
A6-4J,48b94a96-9ec6-469c-0c47-0df628bc5c08,12,4,J,Adhesive,matched,original-matched,,1,10
A7-1A,dab94a96-a4ec-b15c-962c-623d5582ae7c,13,1,A,Screw Holes,matched,original-matched,,1,1
A7-1B,48b94a96-886c-06a0-5be1-dc6eb7669ede,13,1,B,Screw Holes,matched,original-matched,,1,2
A7-1C,92b94a96-89ab-f5dd-1468-a70d19db165e,13,1,C,Screw Holes,matched,original-matched,,1,3
A7-1D,04b94a96-a49b-b0cd-7301-fd4aae3cf5fb,13,1,D,Screw Holes,matched,original-matched,,2,4
A7-1E,1ab94a96-8dd9-8c5b-78e8-e82f5e8ebca0,14,1,E,Screw Holes,matched,original-matched,,2,5
A7-1G,f2b94a96-8d4d-8bde-d9b5-c4350f505558,14,1,G,Screw Holes,matched,original-matched,,3,7
A7-1H,1ab94a96-8dd9-8c5b-78e8-e82f5e8ebca0,14,1,H,Screw Holes,matched,original-matched,,2,8
A7-1J,f2b94a96-8b0a-c622-41ef-95b5f5ef5f8a,14,1,J,Screw Holes,matched,original-matched,,3,10
A7-1K,16b94a96-8b5f-e23f-ad1b-683fde96b63c,14,1,K,Screw Holes,matched,original-matched,,2,11
A7-1L,a8b94a96-8c78-8c98-9a03-6ca21ec9ac7e,14,1,L,Screw Holes,matched,original-matched,,1,12
A7-2A,64b94a96-a536-df44-1daa-92b7260b5bab,13,2,A,Screw Holes,matched,original-matched,,1,1
A7-2B,c0b94a96-88bd-4680-9520-ead142620c14,13,2,B,Screw Holes,matched,original-matched,,1,2
A7-2C,beb94a96-8a02-3bb8-eca5-70e275a15ae5,13,2,C,Screw Holes,matched,original-matched,,1,3
A7-2D,04b94a96-a49b-b0cd-7301-fd4aae3cf5fb,13,2,D,Screw Holes,matched,original-matched,,2,4
A7-2E,16b94a96-8b5f-e23f-ad1b-683fde96b63c,14,2,E,Screw Holes,matched,original-matched,,2,5
A7-2G,7ab94a96-8f48-9bb5-e5c4-9e630957d098,14,2,G,Screw Holes,matched,original-matched,,2,7
