Serial,UUID,Code_Type,PDF_Page,PDF_Row,PDF_Column,Shelf_Page,Shelf_Row,Shelf_Column,Status
A2-2L,3ecbb20f-d281-78fc-5064-1029215b730a,Aztec,4,1,10,4,2,12,matched
A2-3E,a6b94a96-9679-10e1-da1b-911b46aef82e,QR,4,2,2,4,3,5,matched
A2-3G,ceb94a96-954e-ef3f-c40f-fa0b001df6fe,QR,4,2,4,4,3,7,matched
A2-3H,b8b94a96-942a-67a2-9fea-69dcaf72cfd1,QR,4,2,6,4,3,8,matched
A2-3J,d6b94a96-92fc-bcd4-8627-4d6735ed1712,QR,4,2,8,4,3,10,matched
A2-4E,04b94a96-96c6-68d3-17d2-8d70670dc059,QR,4,1,2,4,4,5,matched
A2-4G,60b94a96-95a5-80c5-a92b-ccb764eecd99,QR,4,1,4,4,4,7,matched
A2-4H,46b94a96-9469-ddf1-9e00-816d4cac40cb,QR,4,1,6,4,4,8,matched
A2-4J,06b94a96-9352-8618-cc95-d2bbc14919e8,QR,4,1,8,4,4,10,matched
A3-1A,0eb94a96-9c09-03c4-55b1-a7cb76a809cc,QR,5,2,1,5,1,1,matched
A3-1B,2ab94a96-9d33-298b-73b9-a61d22bfaf0f,QR,5,2,3,5,1,2,matched
A3-1C,50b94a96-9e44-03d7-5fb5-e891e8e822c5,QR,5,2,5,5,1,3,matched
A3-1D,ceb94a96-9f7c-7548-3fe6-f230cb925650,QR,5,2,7,5,1,4,matched
A3-2A,d6b94a96-9c57-b14c-10ff-4f0fd3ba6c13,QR,5,1,1,5,2,1,matched
A3-2B,58b94a96-9d73-ae47-5a9b-8fbdee1c5ae2,QR,5,1,3,5,2,2,matched
A3-2C,0ab94a96-9e8c-bf78-eb8d-d5f0952e05ba,QR,5,1,5,5,2,3,matched
A3-2D,8eb94a96-9fc3-299c-f72a-b53bc1e59d62,QR,5,1,7,5,2,4,matched
A3-3A,34b94a96-9ca4-530c-248e-34f8422716ed,QR,5,2,2,5,3,1,matched
A3-3B,3cb94a96-9db5-6bfd-3af6-a8590c2873cb,QR,5,2,4,5,3,2,matched
A3-3C,7cb94a96-9ed0-2e32-98f8-8da4f5a6130d,QR,5,2,6,5,3,3,matched
A3-3D,72b94a96-a01f-50af-7c39-1a53a787e442,QR,5,2,8,5,3,4,matched
A3-4A,c2b94a96-9ce9-4c89-78c8-8e5aa0c6e97c,QR,5,1,2,5,4,1,matched
A3-4B,f6b94a96-9dfc-7070-db34-dd6c7c171dc5,QR,5,1,4,5,4,2,matched
A3-4C,30b94a96-9f32-4094-81ab-d7f2910b891d,QR,5,1,6,5,4,3,matched
A3-4D,20b94a96-a063-0745-81f4-1c58c3b95c3f,QR,5,1,8,5,4,4,matched
A3-1E,94b94a96-a0a9-229e-a736-0f6364d68ee3,QR,6,2,1,6,1,5,matched
A3-1G,bcb94a96-a1cb-d62b-c099-3adc65c40322,QR,6,2,3,6,1,7,matched
A3-1H,88b94a96-a2f9-27e9-5124-936987b9b34c,QR,6,2,5,6,1,8,matched
A3-1J,60b94a96-a474-e536-026e-fd54413d4cc3,QR,6,2,7,6,1,10,matched
A3-1K,92cbb20f-d28f-8f3a-a70c-2ac3db84d948,Aztec,6,2,9,6,1,11,matched
A3-1L,94cbb20f-d2e7-fd60-e55e-420da9677003,Aztec,6,2,10,6,1,12,matched
A3-2E,14b94a96-a0ed-001b-60a2-e9236e80d5b2,QR,6,1,1,6,2,5,matched
A3-2G,a0b94a96-a214-b874-ec6f-d782d256299b,QR,6,1,3,6,2,7,matched
A3-2H,82b94a96-a350-6869-ea29-a10b1233e08e,QR,6,1,5,6,2,8,matched
A3-2J,32b94a96-a4bc-678b-91f3-7b6e15bfd7ed,QR,6,1,7,6,2,10,matched
A3-2K,cccbb20f-d1d2-1c1c-8151-59a248224b27,Aztec,6,1,9,6,2,11,matched
A3-2L,f6cbb20f-d22c-bd5f-c26c-f3ad8ca36e0f,Aztec,6,1,10,6,2,12,matched
